Tweet,HS,Abusive
tolak berita isu bohong sukses pemilihan kepala daerah wilayah kota keidri,0,0
presiden ri jokowi luarbiasa kerja tulus ihlas rakyatbrsamajkw,0,0
edan emang goollnya fabiano,0,1
gapernah alquran bang pantesan mulut kaya kafir bejat hina farhatabbaslaw,1,1
lihat beda wibawa wibawa gubernur indonesia massya allah,0,0
anjing kali lihat bego debat pemilihan kepala daerah kerja serang karakter shame on you mpok silvy and agus debatfinalpilkadajkt,1,1
gubernurzamannow gusipulputi ganjaryasin djarotsihar hasananton kosterace nurdinsudirman karolingidot keanekaragaman budaya suku agama sungguh kaya djarot hadap pesea rakercabsu,0,0
islam lokalisasi lha kristen mas nusantara mas lihat gereja bandung pakai gamelan khotbah pakai bhs sundajawa hkbp nusantara,0,0
cipta situasi keamanan ketertiban masyarakat jelang pemilihan kepala daerah kapolsek konang silaturahmi tokoh masyarakat,0,0
positif koknsepositif respon masyarakat terhadapn cangkul imporn garam imporn beras imporn jagung imporn tenaga kerja imporn esemka impornn,0,0
sembahyang adopsi tradisi lokal kerja hindunnistilahxcxasembahyangxcxapun lahir tradisi ritusxcxamenyembahhyang tunggal denganxcxashalat sembah all,0,0
dik bodohgk larang bawa agamabiar islam bayar ahok sadar gk milih ahok gla,1,1
btp the best abai kaum sialan otak micin,1,1
otak tempurung mah ladenin smkn lawan bloon dungu gitu makan he,1,1
awaasss berita akh gerung susah mencari kosakatany klu bcr micingin mata bibir monyong samping suara nhn kentut politik kotor skl jmn klu b plng nhn ngedendungu xfxfxxb,1,1
pinokio umur taonan gantipresiden,1,0
cerita silat lae xfxfxx kho ping hoo indonesia liang ie shen tulis china,0,0
benci umat islam,1,0
provokasi mayat politisasi agama kalah pemilihan kepala daerah dki cebong deskripsi kalah junjung informasi ahog pilih kecamatan wakil etnis mayorita,1,1
nete,0,1
tertawa bani lowo,1,1
takabur lahir kuasa rakyat ulama cendikia iblis mahluq alim amp ibadah atus th laknat hasud takabburnya ahli ilmu filsafat failosof mari demo sendi,0,0
a suka konserkonser boros,0,0
makan racun ulama hukum rokok mubah,0,0
susilo bambang yudhoyono presiden ri khofifah emil masyarakat no baguss khofifahemilnomer,0,0
kali kpoper ngomonv teman idol banci homo,1,1
suka video kisah seteru haji bodoh amp malih tongtong,0,0
budaya kafir sungguh klau islam diendahkan,0,0
xfxfxexb lahm hmm xfxfxexa diam bisunkita coba rumput goyang nxexxabxexxabxexxabxexxaaxexxaaxexxaa,0,0
setan bisik waswas lindung allah qs alaxexxraf fushilat,0,0
ente atheisngapain sibuk agama,0,0
lengser jokowi bangsat,1,1
selamat kain gantipresiden presidenbaru,0,0
bajing homonhati hadap anak utama kamar mandi laki biar,1,1
cocot,1,1
budaya indonesia,0,0
ngajarin solata ajah aseng pecah belah islam,0,0
x bicara bangke,1,1
percaya negara jajah rana kespembubaran sistem beraja negara negara republik komunis negara jaja,0,0
nikmat bijak usul pki lha opo,1,0
umpama cina usir paksa indonesia,1,0
bunda ngentot yuk,0,1
china babi china malingnusirchina,1,1
karno anti asing beliau jawa coba deh adain konsensus jawa anti asing profesional asing keboohannya nnkalau keliru tutup akun,0,0
proyek korupsi rezim sby,1,0
wajar lihat tingkah bbrp petinggi negeri suka campur bhs indonesia bhs asing kali bicara,0,0
ab pribadi senang kompetisi positif,0,0
kitab suci agama bilang om mendadakkalap,1,0
suka nutup mata tutup lihat teutup gara sipit,0,0
sbg muslim nista kitab suci alquran dlm alquran sndri bbrp suku smpai dtik mkna faktual olh umat islam tsb makna sirat fiksi,0,0
eh kasar kampang,1,1
sebentar rilis album the ontas wkwkwkwkwk,0,0
cebong bang,1,1
najis banget ngetwit barusan wey,0,1
transgender gmn anjing,1,1
awas bintit ngintipin titit kucing,0,1
bawel baper bodoh lucu wkwk deh,0,1
saranin gk bicara maling ayat langsung to the point paham teriakin kafir sesat liberal puja dukun bla blaaa hati puas dehh,1,1
salah target ahok agenda utama lengser jokowi,1,0
kena hestek panas urusan banget gantipresiden,1,0
maju duit goyang kaki pape duit nak maju kat bodo,0,1
hkbp pecah kristen khatolik zaman jajah belandadl nama kristen protestan cm kristen khatoliknterjadilah pecah hkbp pama kali tarutungnnnah skrg,0,0
tertawa tertawa baca biar pintar jepang amerika china utang,0,0
prabowo kalah bantu jokowi citra ratap pilu,1,0
takut adzan iblis,0,0
goblog bani cebong tukang tipu jilat kuasa gerakin bayar pakai nasi bungkus propaganda nasi bungkus gagal,1,1
wuih cebong sewotnxfxfxxxfxfxxxfxfxx,1,1
gera tekan kerja keras total tingkat potensi bangsa,0,0
gubernur djarot mayoritas paai politik dprd dukung ahok djarot payah,1,0
rezim rusak systeamnya sibuk cari salah klu ketemu kpk alat besok perintah ganti ulang engah selesai organisasi,0,0
tuding antek aseng aseng sungguh beepuk tangan,0,0
loh anti aseng,0,0
selamat moga kiprah tingkat nasional,0,0
asyikmnang ulama,0,0
ketapang tka asing kerja usaha masuk pt who tambang bouksid viral pilpres ndan kerja tsb era gubernur cornelis wakil ora,0,0
anak pecun dr hobi zina tertawa,1,1
que bom sbbsnsn,0,0
istirahat presiden momentum saksi telinga mata rapat bentuk pacitan,0,0
house select committee on assassinations hsca temu cacat investigasi laku fbi warren commission hsca simpul tembak laku konspirasi,0,0
asa genap april gelar hajat pilpres acara negara indonesia pilih presiden moga senantiasa jalan aman lancar amin,0,0
ian pantat,0,1
ngakunya org pintar agama emang agama nista hujat org bodoh org maaf lahir idiot hargain cipta tuhan iblis pintar licik,0,1
daftar capres pilpres buka agustus normatif politikus pdip paham gantipresiden,1,0
tolol perintah rezim komunis bobrok koruptor pimpin sidang dpr paya cebong,1,1
w mantan mantan w mgerasa sedih ampe pikir gabisa tidur lohh w ngerasa anak brengsek laki,0,1
cina usak bangsa usir stuju,1,0
gantipresiden scra konstitusional hak rakyat woiii gin planga plongo laku otoriter,1,1
mari wujud pemilihan kepala daerah kota bengkulu aman damai cokiadem heru,0,0
serius sm presiden jokowi cm islam nusantaraknp kristen nusantarabudhahindu kong huchu nusantara,0,0
korsa nyata moeldoko bukti istana takut bangkit umat islam,0,0
cowo jago drasex ngentot adek luvian,0,1
kroasia kapir tauuungapain blajar sm kapirudh lupa sm kapling sorga,1,1
loh tri suhao homo,1,1
loh culun penakut ubah perlahan buruk,0,0
perang salib raja afrika babilonia peluk kristen tobaco peluk islam,0,0
kejar setorang bangsad rupiah turun xfxfxxa,1,1
moga tindak lapor hadap nista agama ade armando laku langsung ketua fpi kh shobri lubis bareskrim markas polri gambir jakaa pusat selasa wib perhaps,1,0
bangke hajar,1,1
nonta mati minum,1,0
ahok tng mrka trus waswas hdpnya,1,0
sul teng ekses akibat sandera hutang china gantipresiden presidenbaru tetapjokowiganti,1,0
pride yunani xexbdxxcfxxcexbxcfxxcexbxcfxxcexbxcexbdxcexafxcexbhyperxcxphania keangkuhanharga dirikesombonganndikenal hubrisvanity harga rubah manusia sombong sombong manusia kutuk mata tuhandan manusia cinta,0,0
bea tuju hatinlogikaku ntapi hati tenangnaku bea logika nhatiku sedih nku cari wasiat beliau tinggal ndan asing asing mata manusia ntak duhai,0,0
beaji kpk era initapi era komitmen dlm berantas korupsi era sby,1,0
admin tolol paai tololnpaai tolol tolol,1,1
ayu ting ting goyang hot raffi ahmad nagita slavina kampung norak,0,1
video tka malaysia kutip nyata,0,0
ppp buruburu tolak wacana pemilihan kepala daerah dprd,0,0
random pagi nyamperin meja kerja trus pakai bedak biar muka bersih istri butek soalnyaningin ku pakai air wudhu ku kristen,0,0
ko sialan,0,1
memek lonte ken sodok kontol gede,0,1
jokowi mundur tutup,1,0
bicara opo itumulut pei bancibeli kaca lihat broo,1,1
amin rasisnada daninada ratna paiiitnada ontanada lobang anusnjdi jngan takut wo wonkehabisan obat tenang yh,1,1
tunggu komando imam bejat cabul tahi beer xfxfxdxbannape bawa ulamandasar banj sempak,1,1
kabinet beranta npemecah belah rezim,1,0
dih mengaku pinter dr politik ngaca woyy tampang kxcxak bego ckakakakak,1,1
pdiperjuanganmenang tekan usaha tambang target proyek impossible lelang murah antek cina ntb contoh pdip menang dasar bajing,1,1
caya mulut setia mu bwang,1,1
sby prabowo lawan mega jokowi peristiwa ulang pdip incumbent kalah mutlak sby jk jkwmegasby lawan prabowo mk pilpres selesai jk poros pilpres mk salah lawan,0,0
kayak banci kaleng gatot gaduh gentleman mundur saing pilih presidens lawan jokowi,1,1
bebal,0,0
indonesia negara populasi muslim dunia islam rupa musuh barat amp komunis hambat agenda merekaobviously,0,0
umuh persibnpersib kunyuknxfxfxxxfxfxxxfxfxx,1,1
film muslim pilih ahok mati sholatin jamin laris,1,0
banu banu yahudi beda banu banu kristen syriac salah beda banu yahudi tetep pakai eloah elohim yahwe syriac pakai alah allah,0,0
eh muka merah tu cendol setan cuaca skrg panas,0,1
berita saracen diframing katak tim prabowo aniessandi seberulnya media tumpah sakit hati katak cebong ehe,1,1
giat bhabinkamtibmas brigpol mbs sihombing rabu april melaks sambang desa tatap muka monitoring keamanan ketertiban masyarakat tuju pemilihan kepala daerah desa lobusiregar i rumah rudi panjaitan helm siahaan hotman siahaan,0,0
sayang banget perempuan gin status nemplok sm lakilaki haduhnnagita slavina blakblakan ayu ting ting kampung xexx viva,0,1
lupa kang umat katolik minorutas diperhatika gubernur golong golong,0,0
ane cebong udeh dibilangin maren ngeyelnsitu maksa ane cebong,1,1
lemah gerindra iniprabowo turun elektabilitasnya mulut fadlizon durno,1,1
selamat kain kali raya makna kali,0,0
foto bisu milik ai sush diaikansma pei susah diaikanmau putus,0,0
wakakakaka alam xfxfxxxfxfxxxfxfxxxfxfxx tetiba muncul grub wa an bani abd had dikenal mbah mek kenal xfxfxaxaxfxfxaxaxfxfxa,0,0
abam pres badar nuqaba pling boekkk hebat dlm bidang agama x tkut nk tgur member lawak hambar pling ingt smpai skrg lawak klau org cakep jom gerak skrg akn gerakkn badan chubby tu,0,0
anak pekan ilham dasar ekonomi deb gerak utama maju ekonomi bandar beliau allahyarham tun abdul razak ds malaysiamemilih hogohundi,0,0
hahaha sialaaan nyata laper presiden sikat doi,0,0
nasehat kali ugalan rezim eh negeri sdh terlanjur ancornah skrg ekonomi morat marit kacaoooooo,1,0
aelaah silit kebeler ngapa dikasianin org sayang paknsetelah sosmed sadar bbrapa seitansai kemarinntar ceritain duuuhhh xfxfxaxaxfxfxaxaxfxfxx,0,1
cacad,0,0
rakyat makan asli palsu beton solusi jitu miskin ahli cebong tukang tipu cebong mah gitu bodoh ketulungan plonga plongo akibat optimisme gantipresiden,1,1
baca harun yahya belot kubu yahudi freemasonry nyakdg suka percaya,0,0
maju ulama gerak tokoh agama indonesia nderekgusmus,0,0
,0,0
mukidikepedean peanyaan mudah keras keras nama,0,0
kemarin hujat harap dasar bani kamprey,1,1
fitnah silah ban apollinaris darmawan alquran kitab sampah,1,1
monyet koloe dbilang saudra elo hdupmu gin toe hati comberan,1,1
body lufra scrub dg bhn dasar lidah setia mlembabkn kulit amp lbh bcahaya informasi bmi,0,0
cacat,0,0
anut bumi datar xfxfxxdnsoalnya teori bumi bulat asing notabane musuh,0,0
becak warga binjai sita tenda beuliskan gantipresiden pks radang bukti perintah panik takut,1,0
jokowi mundur,1,0
musyawarah nasional alim ulama ppp semarang hasil rekomendasi syarat kriteriakriteria calon wakil presiden damping jokowi romahurmuziy,0,0
cerah gagal anak ekonomi wkwk,0,0
kafan budaya yahudi umat islam klaim,0,0
rezim skrg kendali negara cina komunis mjd patron tunggal rezim anti islam jokowi,1,0
tanda pemilihan kepala daerah pilpres,0,0
misi bangun masyarakat gotong royong toleran harmoni selaras nilai budaya jawa barat luhur nojabarasyik asyikmnang,0,0
tabah pasang en taufiq puan niyana wajar contoh jom sumbang ringan beban pasang come on twitter do your things bsn bank islam niyana bte abdul raziff,0,0
apaansi tai doang belagunya langit inget karma bbrp idol flop ketawa keras,1,1
celeng kgn ya,0,1
teranginegeri budaya yuk visit purwokeo selagi even rakyat purwokeo extravaganzabanyumas,0,0
presiden dana taktis rakyat program perintah program bangun infrastruktur kip kis seifikat tanah hutan sosial bbm harga padat karya,0,0
aamiin allah ntimnya latih ular rawarawa sungai gede musuh setia wkwkw,0,0
maju ngatain mama bodoh,1,1
grombolan kadal jidat gosongmmg bgtu suka ribut grombolanya salah pura budekdasar grombolan cingkrang,1,1
segitu gentar takut hadap kafirxfxfxx,0,0
saracen akun kritis anggap saracen aneh jokowi,1,0
bego tmn najis deh kesel,1,1
kafir kristen ulah,1,1
bau bau udh cir sipit buluq,1,1
kayak pegang mucikari,0,0
guru tk dharma wanita desa plumbon porong deklarasi anti isu bohong benci issu sarah dukung pemilihan kepala daerah damai,0,0
anjing rem maennya xfxfxxxfxfxxc,0,1
kayak bank teentu bilang jual uang asingtukar rupiah,0,0
onta yaman ninnsetahun depoasi,1,1
hatihati berita pemilihan kepala daerah bau isu bohong madiun madiuntoday thmadiun kotakarismatikmadiun tolakcukaiilegal kunjung,0,0
anak cocot,1,1
xfxfxxxfxfxxxfxfxxxfxfxxxfxfxxxfxfxxxfxfxxudah isu bohong fahri mangkanye klu ambil berite tuyg update tong sampah ambil ss rit,1,0
mantaaap dm banser bang,0,0
nyata lebah suka bunga makan bangkai penasaran madu kaya xfxfxax,0,0
indonesia mundur bentuk,1,0
naahh dongo bilang hekell hahaha,0,1
hahahaha blunder cebong pem pusat alas ham rakyat aceh kali cobak perintah bilang suruh hukum islam kaffah aceh klau dpr a,1,1
bangsad deh nyelem ampe,0,1
dipancingpancing urus nista bicara paham fiksi kitab suci,0,0
cebong kacung teman dungu tulang sumjd buang energi debat sm merekaxfxfxx,1,1
paai korupsi sapigoblog,1,1
signal kntl pelihara niat login twitter doank susah gmn open redtube cetan,1,1
matane moh kafir wkwkwk,0,0
inget fesbuk anjing lupa,0,1
bilang hilih kntl,0,1
nikita mirzani pakai hijab bicara cebang cebong fantasiin doi bom uh ah cokorers,1,1
tatap alih arah enggan tatap pria curiga lagipula peama kali gaduh suasana angie temu pria asing tidur sofa pei,0,0
lahir kembang gera komunis indonesia pisah buah organisasi nama isdv,0,0
shaheizy sam wajah baharu calpis,0,0
serah balas fokus kerja kerja tugas project seni budaya langsung kumpul presentasi syukur nilai muas project,0,0
saudara laki-laki,0,0
laku bodoh masuk kategori menyenangkannnkelakuan sontoloyo menganggu bangsannkelakuan naif langsung sbg bentuk intimidasi ulamannkelakuan,1,1
monyet turun mukim warga cibadak sukabumi,0,0
kotor bahagia warga cebong ngei,1,1
giveaway taplak meja menang therichchenle,0,0
buka kebusukab kubu anies sandi menang berkah prabowo usaha cuci tangan,1,0
wkwkwkwk bodo bang,0,1
bik kaya begobro tapimemangbego,1,1
klhk upaya perata ekonomi tora kawasan hutan hutan sosial tribun medan,0,0
mahfud md allah swt berang bangsa ajak buang islam,1,1
bego minum amp makan kotor onta otak somplak,1,1
kuak strategi kampanye tim menang anies sandi,1,0
warga baduy selesai tradisi seba pendopo pemkab lebak beemu gubernur banten wahidin halim sabtu sebabaduy,0,0
lembaga antikorupsi bubar sentuh kuasa gilir kpk pdip paai politik kuasa ngotot bubar kpk,1,0
mas mnyudutkan salah agama bahayaitulah rocky cerdik nyusun kalimat amppantas dgunakaninti kasih pngeian fiksi sbenarnyaayolah mas i,0,0
dukung capres gagal move on salalu sibuk urus aseng bawa kabur uang rp t ngak sadar aseng kabur bawa uang dukung pribumi asu mustahil aseng pribumi diam sogok mental kacung emang,1,1
rabun budekngue nulis ngomongnxfxfxxxfxfxx,1,1
bismillah nahan sepo kutuk,0,1
brahahahaaa cebong ngahok xfxfxaxaxfxfxaxa cebong cebok xfxfxx,1,1
apdet status bikin tugas kelar anjing mbut,0,1
muslim jabat negara beindak bangsa negara,0,0
ikan sembuh sakit selamat bagus laik jual pisah seleksi ikan cacat permanen pelihara nnkesehatanikanncc,0,0
ainya pribumi sadar lihat kecuali samasama cina komunis misionaris abai tweet usir cina indonesia,1,0
presiden tuduh rezim anti islam negeri bnyak umat,1,0
manusia bangsad,1,1
cina kenal wisata haram indonesia hahaha,1,0
prabowo pks bib asyik anggap antek prabowo antek pks hidup dramatis,1,0
sahabat salahlovren bukti beda suku agama ras halang dlm bina hubung umat manusia beda warna dlm jalin peemanan terima kasih lovrensalah favourites bff saudara laki-laki,0,0
lh laemeskipun sdh turun turun ideologi pki sllu lekat jiwa mreka,0,0
sebel ngeroko motor yakan kadang engap tutup macetxexxa,0,0
maaf kunyuk bronnenak banget rasan merekasebar isu bohong maafsebar isu bohong maaf laginnmesti sapu biar jera,1,1
hello warga jakaa wakil kepala dpmptsp provinsi dki jakaa denny wahyu haryanto wakil wakil gubernur provinsi dki jakaa buka acara junior chamber international jci indonesia national event setiamelayanijakaa,0,0
kuat jaring gubernur tekan kuasa state of the a knowledge sea bahasa rantau indonesia,0,0
pandang tgb hadap agama politik,0,0
provider brengsek,1,1
susilo bambang yudhoyono presiden ri khofifah emil masyarakat no baguss,0,0
dungu ganti presiden g mikiiiir,1,1
porno cewek bispak bandung ngentot croot xfxfxxnndownload full,0,1
sialan complain rag ditanggepi fuck,1,1
kaya jarang dibelai gta jemput pakai mobil,1,1
lihat memek tante,0,1
kerja musuh dakwah islam bubar hti rakyat hak lengser jokowok tukang citra,1,0
hah lengkap bukti bodoh,1,1
xexxctidakxexxd salah khalifah rasyidin xexxckami rang kafir merekaxexxd xexxckalau orangorang munafikxexxd xexxctidak munafik,0,0
doyan nete un maklumin,0,1
nek ndelok match terkhir celsi kudune menang mudah emyu embuh celsi kacau ki raiso prediksi xfxfxx,1,1
yakali tni suruh urusin sampah plastik xfxfxx,0,0
khawatir manuver politik bijak laku rezim moga nkri cinta aamiin,0,0
madi arya lapor rocky gerung polisi serius kitab suci fiksi rocky nyata salah hina wait anut agama a anggap kitab suci,0,0
bajing tengik,0,1
pakai buruh cina rakyat bnyak pnganggurandasar rejim kodok,1,1
,1,1
rp haneul cute rlnya perekyang on retweet,0,1
bilang anti asing asengnda wkwkwkwkwk,0,0
suriah sekolah radikal rakit bomplg indonesia pklya aman,0,0
kadang hidup emang kayak tai kadang berak elo resin tainya tangan yxexxa,0,1
ih banci selotipan xfxfxx,1,1
tertawa kalah yee org jahat kalah,1,0
gubernurzamannow gusipulputi ganjaryasin djarotsihar hasananton kosterace nurdinsudirman karolingidot keanekaragaman budaya suku agama sungguh kaya djarot hadap pesea rakercabsu,0,0
cinta orba meng idola prabowo amp hary tanoe,1,0
nantang buka dada eh nyebut setan emang habis kamus ngelawan kenegarawanan joko widodo presiden ri stresssssss hati kena stoke serang jantung rakyat indonesia hilang badut politik merdeka,1,1
belah durian yaaaangak dunguya cebongxfxfxxxfxfxxnmaaf,1,1
orangorang yahudi nasrani al kitab taurat injil kenal muhammad,0,0
bubar hti amp fpi,1,0
ahok verbal keras lampias lari lelaki lunak,1,0
dar share teman kantor langgan cadar langsung bilang awas bom hela nafas xfxfxxaf,0,0
pantat mn nh pngen nusuk ditusuknxfxfxxopen bo wa gaybrondong massageboy gayjakaa gayjogja gaytanggerxexxa,0,1
ancam bunuh presiden republik indonesia mas trus mesti lapor tegak hukum beindak ancam bunuh kepala negara,0,0
kayak nyosor nete,0,1
ngewe bae,0,1
jebur bloon cebur,0,1
pks ultah balai kota rr bicara nyapres balai kota ganti nama balai politik,0,0
rencana seret adil ham pbb,1,0
bijak barang konsumen laku barang rusak cacat produksi konsumen puas produk hitung tanggal pembeliannhauzminiquiz hauzidnyuk ikutann,0,0
kisah hidup muhammad lengkap didownload,0,0
jajah bumi indonesia hapus jajah ekonomi budaya hasil bumi cina basmi nkri usir,1,0
we pipis onta cecer mari pantes bau pesing,0,1
triak lantang pmh profesional aseng duluan pas tawar bantu asing bikin posko inti ngomporin keluarga korban sue pmh bilang,0,0
mari berjuangsampai jokowi dilanti njangan gentar njangan takut nwalau mata benang leher ujung tombak porut nntidak surut langkah kitantidak bisu suara kitantidak,0,0
kaya monyet,0,1
survei metro tv jokowi menang presiden etapi ngitungnya ngalahin salah judul maksud jokowi menang sumber zie bajrie,1,0
,0,0
cuba tgk anime karakai jozu no takagisan nak feeling feeling cinta monyet zaman sekolahmemang throwback habes,0,0
seru pesta budaya erau kuta kaanegara,0,0
contactnya retweet yanbanyak banget kenal tante jilboob sangenini nama tante dea oxexxa,0,1
debat publik ajang bukti pintar ruang akademik pamer ciamik kuat lemah egosentris nama kuat tahan l,0,0
duduk istana negara lengser jokowi salamtahun,1,0
hebat sibuk citra baca,1,0
gk muslim hina iblis betina sdh nista syariat,1,1
baby kafir budha teroris myanmar,1,1
indonesia blom merdeka indonesia jajah cina takbirallauakbar,1,0
politik hantayudha paslon no khanz jateng jatenggayeng tetapjokowi,0,0
jongos nista agama ahok sok sok ngong saramajikan tebar sara astagfirllah tobat,1,1
follow bli katolik akun prof wawas berbangsaterima kasih,0,0
bejat cabul kecut onta ye,1,1
wibisono citra jokowi sebar up media massa profesional asing kes jokowi hasil,1,0
adi gaya kaya beruk gin supir tembak metromini masuk dprnkampungan,1,1
mainstream mengaaikan pintar pintar relatif gantung bawa pengeiannya pintar mengundeeestimatekan org pinter komen ajah rejim now pinter mangkrakin janji doang somaking,1,0
emang dongo,0,1
ih masak samain smaa sampah xfxfxxaxfxfxxaxfxfxxa,0,0
terpukaukaukau gantipresiden,1,0
aspirasi lina sumedang calon gubernur jabar berantas pelakor sdh resah hidup warga desa,0,0
yaaelah chat urusin noh deh lihat mesum anggotadpr mingkem nyata selingkuh th pura budek bong gk nyampe otak,1,1
tu takut cina pai dap bimbang fahaman bawa,0,0
cermin pecah kaca,0,0
lansung tag paainyanga berani berai banci,1,1
a comel asing warna,0,0
islam manusia idealis realistis hidup lupa ajak kerja keras ajak istirahat,0,0
kristus anjing asu jiamput keparat picek telek pejuh siwuk kotang siwuk idiot keparat picek telek pejuh siwuk kotang siwuk idiot keparat picek telek pejuh siwuk kotang siwuk idiot keparat picek telek pejuh siwuk kotang siwuk idiot keparat picek telek pejuh siwuk,1,1
agama katholik ngak khatolik nusantara agama kristen protestan ngak kristen protestan nusantara agama hindu ngak hindu nusantara agama budha ngak budha nusantara lha,0,0
bas teknologi digital presiden sistem betulbetul jalan langsung ramah ratas,0,0
ahhh asa hibur cebong bahagia presiden cebong tol cebong lha elo germo xfxfxxxfxfxxxfxfxx,1,1
resah presiden hidup penuh drama citra main ftv joko judul,1,0
agama kristenngolongan darah bnasal san fernando valley,0,0
budha bunuh muslim myanmar,1,0
jahudi bangke jerman ibadah,1,1
papamintaketuafraksi rakyat setya novanto dpr pecat ketua dpr pecat dpr,1,0
cina,0,0
isu bohong kodok biawak roket sekop bangsat karbitan munafik gantipresiden presidenbaru tenggelamkanjokowikesungaisiak,1,1
ribut komunis blabla emoh baca baca niat agitasi serang perintah pakai cari simpatisan,1,0
presiden jokowi harap skema kerja laku pembangunanpembangunan,0,0
milu langsung biar milih presiden dpr capres biar kucing dlm karung bikin mekanisme ok capres gubernur prestasi maju capres sdh gubernur,0,0
vital gimanaudah inter bek kanan beda era maicon dambrosio cancelo bagusnyanhmmmmberai simpul geblek ausilio xfxfxxxf,1,1
nama agama munafik,1,1
contoh tuding duga korupsi sby dorong jaksa usut himbau kpk usut duga korupsi jokowi,1,0
cium bau bau pecun,0,1
henti konsumen wisata haji umoh tipu podusen wisata jiarah indonesia,1,0
buru nazi simon wiesenthal pegang fotofoto gambar mantan kepala gestapo walter rauff buah van kamar gas gerak eksekusi orangorang yahudi,0,0
cacimaki nista agama nyata poligami sembunyi digituin,1,0
bubarkan nkri harga mati,1,0
baikbaik royson jokowi kacung guannitulah alas fundamental rezim pei sengaja masuk debt trap komunis cinannso wajib gantipresiden,1,1
wkwkwkwk mampus pepet ujin ah,0,1
gubernur jaman now anti isu bohong nyebar isu ganjaryasinmenang ganjaryasin kamiganjaryasin,0,0
azan tv manggil allah swt dungu biadab henti acara catut nama tuhan,1,1
laku bani cebong,1,1
deh baju yahudi betopi bas tu geng jubah putih kopiah minyak atar bejanggut dahi bekuk bak ahli syurga betol out of place mohon direjam,0,0
ge marah auto blacklist hidup guennsampah daur ulang,0,0
anjing rasanyaa bekas silit mah,0,1
cebong panas berbicara sembarangan xfxfxxxfxfxx,1,1
amin smoga beiga tampil sumbang medali sumsel,0,0
,0,0
gubernurzamannow gusipulputi ganjaryasin djarotsihar hasananton kosterace nurdinsudirman karolingidot keanekaragaman budaya suku agama sungguh kaya djarot hadap pesea rakercabsu,0,0
bingkai bangkai ajar hidup,0,0
edan mas newbie menang lihat yampun r w mas dikit bat,0,1
nahklo pki alias paai korupsi indonesia ganyang,1,0
perempuan kaya mati deh jelek gausa sok make up aist,1,1
jual kaya jarang dibelai,0,1
bijak tugas jajar krl doang tumpang followers doang xexxbxefxbxf nyuruh orng mengei mengei butuh orng bangke,0,1
kyknya titit sambung trus pakai accessoris,0,1
mata w pas sipit skrg engga aneh pis,0,0
ko ingt banci gigih nk,0,1
waspada cina komunis indonesia,1,0
banci kampung heeee,1,1
gembel ganteng kasihan cinta asik asik jos,0,1
dekalarasi pemilihan kepala daerah aman anti isu bohong toga jemirahan jabon,0,0
setiausaha agung pas datuk takiyuddin hassan sahkan cuba pinda lembaga pai pei presiden pai,0,0
